RAW_Type0non_1social,RAW_Fixation_Duration,RAW_ZscoreDURATION_AllPs=(F2-350)/291.4,RAW_DUR_ZscorebyP,RAW_Fixation_Start,RAW_P_Navon_Zscore,RAW_NAVON_Z_GROUPminus1_0_1,RAW_NavonTemporalZscore,FILTER_Type0non_1social,FILTER_Fixation_Duration,FILTER_ZscoreDURATION_AllPs=(F2-350)/291.4,FILTER_DUR_ZscorebyP,FILTER_Fixation_Start,FILTER_P_Navon_Zscore,FILTER_NAVON_Z_GROUPminus1_0_1,FILTER_NavonTemporalZscore
1,1426,3.692518874,3.496688742,146,-0.18,0,-0.18,0,794,1.523678792,1.141509434,10,-0.13,0,-0.36
1,138,-0.7275223061,-0.8691275168,146,-0.29,0,-0.64,0,206,-0.4941660947,-0.7075471698,10,-0.13,0,-0.36
0,210,-0.4804392588,-0.4375,148,-0.5,0,-0.18,0,804,1.557995882,1.172955975,10,-0.13,0,-0.36
0,710,1.235415237,1.794642857,148,-0.5,0,-0.18,0,322,-0.09608785175,-0.3427672956,10,-0.13,0,-0.36
1,746,1.35895676,0.9575070822,148,-0.89,0,0.35,0,194,-0.5353466026,-0.7452830189,10,-0.13,0,-0.36
0,224,-0.4323953329,-0.4834437086,150,-0.18,0,-0.18,0,288,-0.2127659574,-0.4496855346,10,-0.13,0,-0.36
1,68,-0.9677419355,-0.8534798535,150,0.98,0,-0.51,0,302,-0.1647220316,-0.4056603774,10,-0.13,0,-0.36
0,888,1.846259437,1.359773371,150,-0.89,0,0.35,0,304,-0.1578586136,-0.3993710692,10,-0.13,0,-0.36
0,172,-0.6108442004,-0.6685552408,150,-0.89,0,0.35,0,184,-0.5696636925,-0.7767295597,10,-0.13,0,-0.36
0,456,0.3637611531,0.1306818182,152,0.45,0,,0,216,-0.4598490048,-0.6761006289,10,-0.13,0,-0.36
0,438,0.3019903912,0.2251655629,154,-0.18,0,-0.18,0,1262,3.1297186,2.613207547,10,-0.13,0,-0.36
1,568,0.7481125601,0.6556291391,154,-0.18,0,-0.18,0,268,-0.2814001373,-0.5125786164,10,-0.13,0,-0.36
1,804,1.557995882,1.121813031,154,-0.89,0,0.35,0,246,-0.3568977351,-0.5817610063,10,-0.13,0,-0.36
1,156,-0.6657515443,-0.8647798742,158,-0.13,0,-0.36,0,754,1.386410432,1.01572327,10,-0.13,0,-0.36
0,54,-1.015785861,-0.8953974895,158,-1.75,-1,1.01,0,272,-0.2676733013,-0.5,10,-0.13,0,-0.36
0,684,1.146190803,0.7784090909,158,0.45,0,,0,580,0.7892930679,0.4685534591,10,-0.13,0,-0.36
0,732,1.310912835,1.469230769,160,1.04,1,-1.07,0,174,-0.6039807824,-0.8081761006,10,-0.13,0,-0.36
0,122,-0.78242965,-0.8181818182,162,0.45,0,,0,198,-0.5216197666,-0.7327044025,10,-0.13,0,-0.36
1,694,1.180507893,0.8068181818,162,0.45,0,,0,850,1.715854496,1.317610063,10,-0.13,0,-0.36
0,210,-0.4804392588,-0.5298013245,164,-0.18,0,-0.18,0,858,1.743308167,1.342767296,10,-0.13,0,-0.36
1,1006,2.251201098,2.105960265,164,-0.18,0,-0.18,1,154,-0.6726149623,-0.8710691824,10,-0.13,0,-0.36
1,212,-0.4735758408,-0.5552407932,164,-0.89,0,0.35,1,232,-0.4049416609,-0.6257861635,10,-0.13,0,-0.36
0,928,1.983527797,2.761506276,164,-1.75,-1,1.01,1,622,0.9334248456,0.6006289308,10,-0.13,0,-0.36
0,732,1.310912835,0.9147727273,166,0.45,0,,1,30,-1.098146877,-1.261006289,10,-0.13,0,-0.36
0,160,-0.6520247083,-0.6953642384,168,-0.18,0,-0.18,1,748,1.365820178,0.9968553459,10,-0.13,0,-0.36
0,186,-0.5628002745,-0.7080536913,168,-0.29,0,-0.64,1,836,1.66781057,1.273584906,10,-0.13,0,-0.36
1,138,-0.7275223061,-0.4347826087,170,-0.5,0,2.3,1,782,1.482498284,1.103773585,10,-0.13,0,-0.36
0,292,-0.1990391215,-0.2230769231,170,1.04,1,-1.07,1,754,1.386410432,1.01572327,10,-0.13,0,-0.36
1,168,-0.6245710364,-0.7,170,1.04,1,-1.07,1,602,0.8647906658,0.5377358491,10,-0.13,0,-0.36
1,710,1.235415237,0.8522727273,170,0.45,0,,1,242,-0.370624571,-0.5943396226,10,-0.13,0,-0.36
0,720,1.269732327,1.423076923,172,1.04,1,-1.07,1,812,1.585449554,1.198113208,10,-0.13,0,-0.36
0,852,1.722717914,1.930769231,172,1.04,1,-1.07,1,82,-0.9196980096,-1.097484277,10,-0.13,0,-0.36
1,750,1.372683596,1.538461538,172,1.04,1,-1.07,1,804,1.557995882,1.172955975,10,-0.13,0,-0.36
0,730,1.304049417,0.9090909091,172,0.45,0,,1,288,-0.2127659574,-0.4496855346,10,-0.13,0,-0.36
0,692,1.173644475,1.315384615,174,1.04,1,-1.07,1,1328,3.356211393,2.820754717,10,-0.13,0,-0.36
0,944,2.038435141,2.284615385,174,1.04,1,-1.07,1,816,1.59917639,1.210691824,10,-0.13,0,-0.36
0,694,1.180507893,1.323076923,174,1.04,1,-1.07,1,260,-0.3088538092,-0.5377358491,10,-0.13,0,-0.36
0,862,1.757035003,1.28611898,174,-0.89,0,0.35,1,316,-0.1166781057,-0.3616352201,10,-0.13,0,-0.36
0,282,-0.2333562114,-0.2615384615,176,1.04,1,-1.07,1,238,-0.384351407,-0.606918239,10,-0.13,0,-0.36
1,688,1.159917639,1.3,176,1.04,1,-1.07,1,286,-0.2196293754,-0.4559748428,10,-0.13,0,-0.36
0,722,1.276595745,0.8863636364,176,0.45,0,,1,226,-0.4255319149,-0.6446540881,10,-0.13,0,-0.36
0,714,1.249142073,1.139072848,178,-0.18,0,-0.18,1,744,1.352093342,0.9842767296,10,-0.13,0,-0.36
0,106,-0.8373369938,-0.7066666667,178,,0,,1,174,-0.6039807824,-0.8081761006,10,-0.13,0,-0.36
1,698,1.194234729,0.8181818182,178,0.45,0,,1,756,1.39327385,1.022012579,10,-0.13,0,-0.36
1,836,1.66781057,1.210227273,178,0.45,0,,1,226,-0.4255319149,-0.6446540881,10,-0.13,0,-0.36
0,70,-0.9608785175,-1.076923077,180,1.04,1,-1.07,1,222,-0.4392587509,-0.6572327044,10,-0.13,0,-0.36
0,138,-0.7275223061,-0.8153846154,182,1.04,1,-1.07,1,218,-0.4529855868,-0.6698113208,10,-0.13,0,-0.36
0,740,1.338366507,1.5,182,1.04,1,-1.07,1,312,-0.1304049417,-0.3742138365,10,-0.13,0,-0.36
0,740,1.338366507,1.5,182,1.04,1,-1.07,1,286,-0.2196293754,-0.4559748428,10,-0.13,0,-0.36
0,734,1.317776253,1.476923077,182,1.04,1,-1.07,1,208,-0.4873026767,-0.7012578616,10,-0.13,0,-0.36
1,146,-0.7000686342,-0.7846153846,182,1.04,1,-1.07,1,770,1.441317776,1.066037736,10,-0.13,0,-0.36
0,722,1.276595745,0.8863636364,182,0.45,0,,1,1090,2.539464653,2.072327044,10,-0.13,0,-0.36
0,1120,2.642415923,3.834782609,184,-0.5,0,2.3,1,264,-0.2951269732,-0.5251572327,10,-0.13,0,-0.36
0,502,0.5216197666,0.5846153846,184,1.04,1,-1.07,1,18,-1.139327385,-1.298742138,10,-0.13,0,-0.36
0,670,1.098146877,1.230769231,184,1.04,1,-1.07,1,262,-0.3019903912,-0.5314465409,10,-0.13,0,-0.36
0,664,1.077556623,0.7215909091,184,0.45,0,,1,30,-1.098146877,-1.261006289,10,-0.13,0,-0.36
0,116,-0.8030199039,-0.5304347826,186,-0.5,0,2.3,0,174,-0.6039807824,-0.5982142857,10,-0.5,0,-0.18
1,180,-0.5833905285,-0.252173913,186,-0.5,0,2.3,0,94,-0.8785175017,-0.9553571429,10,-0.5,0,-0.18
0,696,1.187371311,1.330769231,186,1.04,1,-1.07,0,218,-0.4529855868,-0.4017857143,10,-0.5,0,-0.18
0,698,1.194234729,1.338461538,186,1.04,1,-1.07,0,192,-0.5422100206,-0.5178571429,10,-0.5,0,-0.18
0,2320,6.760466712,5.426136364,186,0.45,0,,0,214,-0.4667124228,-0.4196428571,10,-0.5,0,-0.18
0,832,1.654083734,1.198863636,186,0.45,0,,0,22,-1.125600549,-1.276785714,10,-0.5,0,-0.18
1,736,1.324639671,0.9261363636,186,0.45,0,,0,690,1.166781057,1.705357143,10,-0.5,0,-0.18
1,688,1.159917639,1.3,188,1.04,1,-1.07,0,210,-0.4804392588,-0.4375,10,-0.5,0,-0.18
1,314,-0.1235415237,-0.1384615385,188,1.04,1,-1.07,0,66,-0.9746053535,-1.080357143,10,-0.5,0,-0.18
1,118,-0.7961564859,-0.8923076923,188,1.04,1,-1.07,0,760,1.407000686,2.017857143,10,-0.5,0,-0.18
0,718,1.262868909,0.875,188,0.45,0,,0,176,-0.5971173644,-0.5892857143,10,-0.5,0,-0.18
1,274,-0.2608098833,0.1565217391,190,-0.5,0,2.3,0,188,-0.5559368566,-0.5357142857,10,-0.5,0,-0.18
0,720,1.269732327,1.423076923,190,1.04,1,-1.07,0,204,-0.5010295127,-0.4642857143,10,-0.5,0,-0.18
0,684,1.146190803,1.284615385,190,1.04,1,-1.07,0,180,-0.5833905285,-0.5714285714,10,-0.5,0,-0.18
0,674,1.111873713,1.246153846,190,1.04,1,-1.07,0,238,-0.384351407,-0.3125,10,-0.5,0,-0.18
0,756,1.39327385,1.561538462,190,1.04,1,-1.07,0,88,-0.8991077557,-0.9821428571,10,-0.5,0,-0.18
0,218,-0.4529855868,-0.5076923077,190,1.04,1,-1.07,0,88,-0.8991077557,-0.9821428571,10,-0.5,0,-0.18
0,758,1.400137268,1.569230769,190,1.04,1,-1.07,0,252,-0.3363074811,-0.25,10,-0.5,0,-0.18
1,1098,2.566918325,1.954674221,190,-0.89,0,0.35,0,194,-0.5353466026,-0.5089285714,10,-0.5,0,-0.18
1,830,1.647220316,1.195467422,190,-0.89,0,0.35,0,172,-0.6108442004,-0.6071428571,10,-0.5,0,-0.18
0,744,1.352093342,1.515384615,192,1.04,1,-1.07,0,176,-0.5971173644,-0.5892857143,10,-0.5,0,-0.18
0,696,1.187371311,1.330769231,192,1.04,1,-1.07,0,714,1.249142073,1.8125,10,-0.5,0,-0.18
1,752,1.379547014,1.546153846,192,1.04,1,-1.07,0,216,-0.4598490048,-0.4107142857,10,-0.5,0,-0.18
1,314,-0.1235415237,-0.1384615385,192,1.04,1,-1.07,0,66,-0.9746053535,-1.080357143,10,-0.5,0,-0.18
0,756,1.39327385,1.278145695,192,-0.18,0,-0.18,0,194,-0.5353466026,-0.5089285714,10,-0.5,0,-0.18
1,184,-0.5696636925,-0.6158940397,192,-0.18,0,-0.18,0,196,-0.5284831846,-0.5,10,-0.5,0,-0.18
1,872,1.791352093,2.091575092,192,0.98,0,-0.51,0,180,-0.5833905285,-0.5714285714,10,-0.5,0,-0.18
0,704,1.214824983,1.765486726,192,1.78,1,-0.71,0,78,-0.9334248456,-1.026785714,10,-0.5,0,-0.18
0,588,0.8167467399,0.5056818182,192,0.45,0,,0,190,-0.5490734386,-0.5267857143,10,-0.5,0,-0.18
0,764,1.420727522,1.005681818,192,0.45,0,,0,170,-0.6177076184,-0.6160714286,10,-0.5,0,-0.18
1,682,1.139327385,0.7727272727,192,0.45,0,,0,724,1.283459163,1.857142857,10,-0.5,0,-0.18
0,754,1.386410432,1.553846154,194,1.04,1,-1.07,0,808,1.571722718,2.232142857,10,-0.5,0,-0.18
0,776,1.46190803,1.638461538,194,1.04,1,-1.07,0,710,1.235415237,1.794642857,10,-0.5,0,-0.18
0,506,0.5353466026,0.6,194,1.04,1,-1.07,0,212,-0.4735758408,-0.4285714286,10,-0.5,0,-0.18
1,684,1.146190803,1.284615385,194,1.04,1,-1.07,0,162,-0.6451612903,-0.6517857143,10,-0.5,0,-0.18
1,670,1.098146877,1.230769231,194,1.04,1,-1.07,0,44,-1.050102951,-1.178571429,10,-0.5,0,-0.18
0,1220,2.985586822,2.481132075,194,-0.13,0,-0.36,0,740,1.338366507,1.928571429,10,-0.5,0,-0.18
