Image,P_ID,Condition,In_Out,X,Y
1020.0,P1,fil_sem,1.0,292.6,206.2
1020.0,P1,fil_sem,1.0,350.3,259.4
1020.0,P1,fil_sem,1.0,467.4,198.4
1020.0,P7,fil_sem,1.0,408.9,248.3
1020.0,P7,fil_sem,1.0,476.9,187.7
1020.0,P7,fil_sem,1.0,297.3,177.2
1020.0,P7,fil_sem,1.0,296.6,164.5
1020.0,P7,fil_sem,1.0,365.2,148.7
1020.0,P7,fil_sem,1.0,272.7,180.7
1020.0,P7,fil_sem,1.0,308.9,175.7
1020.0,P7,raw_sem,1.0,381.9,274.2
1020.0,P7,raw_sem,1.0,467.4,216.0
1020.0,P7,raw_sem,1.0,310.6,178.5
1020.0,P7,raw_sem,1.0,490.8,202.0
1020.0,P7,raw_sem,1.0,603.6,301.2
1020.0,P7,raw_sem,1.0,485.5,203.8
1020.0,P7,raw_sem,1.0,292.0,187.1
1021.0,P1,fil_non,0.0,428.2,344.4
1021.0,P1,fil_non,1.0,345.2,406.7
1021.0,P1,fil_non,1.0,374.7,397.4
1021.0,P1,fil_non,1.0,311.1,474.3
1021.0,P1,fil_non,0.0,517.6,546.4
1021.0,P1,fil_non,0.0,549.8,558.8
1021.0,P1,fil_non,0.0,364.5,566.8
1021.0,P1,fil_non,1.0,381.1,470.1
1021.0,P7,fil_non,1.0,392.2,264.2
1021.0,P7,fil_non,1.0,274.1,346.4
1021.0,P7,fil_non,1.0,294.4,385.0
1021.0,P7,fil_non,1.0,146.9,353.2
1021.0,P7,fil_non,1.0,294.5,310.8
1021.0,P7,fil_non,1.0,287.5,409.7
1021.0,P7,fil_non,1.0,647.1,148.8
1021.0,P7,fil_non,1.0,346.0,292.9
1021.0,P7,fil_non,1.0,266.3,381.2
1021.0,P7,raw_non,1.0,353.5,223.5
1022.0,P1,fil_sem,0.0,427.8,366.4
1022.0,P1,fil_sem,1.0,179.8,374.5
1022.0,P1,fil_sem,0.0,223.1,265.9
1022.0,P1,fil_sem,1.0,396.0,204.7
1022.0,P1,fil_sem,1.0,350.0,230.4
1022.0,P1,fil_sem,1.0,284.5,173.2
1022.0,P1,fil_sem,1.0,183.8,312.4
1022.0,P7,fil_sem,1.0,408.3,245.9
1022.0,P7,fil_sem,1.0,131.9,304.9
1022.0,P7,fil_sem,1.0,134.1,351.9
1022.0,P7,fil_sem,1.0,670.5,239.5
1022.0,P7,fil_sem,1.0,586.3,241.4
1022.0,P7,fil_sem,1.0,290.9,168.0
1022.0,P7,fil_sem,1.0,130.5,122.2
1022.0,P7,fil_sem,1.0,218.3,151.9
1022.0,P7,raw_sem,1.0,407.8,241.8
1022.0,P7,raw_sem,1.0,137.2,320.8
1022.0,P7,raw_sem,0.0,648.3,196.5
1022.0,P7,raw_sem,1.0,679.3,228.4
1022.0,P7,raw_sem,0.0,615.7,35.1
1022.0,P7,raw_sem,0.0,196.5,103.9
1023.0,P1,fil_sem,1.0,400.3,278.2
1023.0,P1,fil_sem,1.0,386.2,217.7
1023.0,P1,fil_sem,1.0,379.3,298.6
1023.0,P1,fil_sem,1.0,408.2,385.7
1023.0,P1,fil_sem,0.0,495.5,782.1
1023.0,P1,fil_sem,1.0,424.6,369.5
1023.0,P1,fil_sem,0.0,214.1,376.5
1023.0,P7,fil_sem,1.0,385.6,282.2
1023.0,P7,fil_sem,1.0,410.1,147.0
1023.0,P7,fil_sem,1.0,191.4,192.7
1023.0,P7,fil_sem,0.0,354.1,-23.5
1023.0,P7,fil_sem,1.0,322.9,16.1
1023.0,P7,fil_sem,0.0,340.1,-20.5
