RECORDING_SESSION_LABEL,TRIAL_INDEX,Trial_Index_,Image,image_type,response,trial_num,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_IS_RT_END,X,Y
P1,16,15,Ss.png,None,n,0,84,11,4314,1014.4,946.8,FALSE,454.4,706.8
P1,16,15,Ss.png,None,n,0,200,12,4450,1024.6,512.8,FALSE,464.6,272.8
P1,16,15,Ss.png,None,n,0,332,13,4668,1011.1,469.4,FALSE,451.1,229.4
P1,16,15,Ss.png,None,n,0,148,14,5026,984.4,585,FALSE,424.4,345
P1,16,15,Ss.png,None,n,0,154,15,5196,1058.6,596.1,FALSE,498.6,356.1
P1,17,16,Hs.png,Global,b,0,438,1,10,987.3,531.1,FALSE,427.3,291.1
P1,17,16,Hs.png,Global,b,0,26,2,704,923.6,1094.9,FALSE,363.6,854.9
P1,17,16,Hs.png,Global,b,0,920,3,834,922.4,485.8,FALSE,362.4,245.8
P1,17,16,Hs.png,Global,b,0,140,4,1784,867.5,304.9,FALSE,307.5,64.9
P1,17,16,Hs.png,Global,b,0,146,5,1984,956.1,1151,FALSE,396.1,911
P1,17,16,Hs.png,Global,b,0,152,6,2146,941.5,1150.2,FALSE,381.5,910.2
P1,17,16,Hs.png,Global,b,0,58,7,2318,890.1,1158,FALSE,330.1,918
P1,17,16,Hs.png,Global,b,0,468,8,2392,876.1,1154.8,FALSE,316.1,914.8
P1,17,16,Hs.png,Global,b,0,226,9,2888,784.7,1146.3,FALSE,224.7,906.3
P1,17,16,Hs.png,Global,b,0,244,10,3194,1000,333.1,FALSE,440,93.1
P1,17,16,Hs.png,Global,b,0,322,11,3458,989.8,324,FALSE,429.8,84
P1,17,16,Hs.png,Global,b,0,220,12,3812,1022.9,468.3,FALSE,462.9,228.3
P1,18,17,Ol.png,Global,b,0,240,1,10,1098,573.5,FALSE,538,333.5
P1,18,17,Ol.png,Global,b,0,400,2,276,1026.6,553.4,FALSE,466.6,313.4
P1,18,17,Ol.png,Global,b,0,42,3,836,1035.1,1052.3,FALSE,475.1,812.3
P1,18,17,Ol.png,Global,b,0,938,4,908,1032,587.7,FALSE,472,347.7
P1,18,17,Ol.png,Global,b,0,786,5,2038,1015.6,565.5,FALSE,455.6,325.5
P1,18,17,Ol.png,Global,b,0,674,6,2844,969.2,447.6,FALSE,409.2,207.6
P1,18,17,Ol.png,Global,b,0,394,7,3576,903.2,1152.8,FALSE,343.2,912.8
P1,18,17,Ol.png,Global,b,0,442,8,3990,873.4,1144.7,FALSE,313.4,904.7
P1,18,17,Ol.png,Global,b,0,558,9,4498,1065.9,534.8,FALSE,505.9,294.8
P1,19,18,Th.png,Local,b,0,18,1,10,164.3,104.3,FALSE,-395.7,-135.7
P1,19,18,Th.png,Local,b,0,244,2,132,986,587.5,FALSE,426,347.5
P1,19,18,Th.png,Local,b,0,226,3,440,726.9,1122.6,FALSE,166.9,882.6
P1,19,18,Th.png,Local,b,0,374,4,736,1004.8,544.3,FALSE,444.8,304.3
P1,19,18,Th.png,Local,b,0,426,5,1238,990.9,547.2,FALSE,430.9,307.2
P1,19,18,Th.png,Local,b,0,166,6,1822,952.1,457.1,FALSE,392.1,217.1
P1,19,18,Th.png,Local,b,0,732,7,2008,992.3,518.3,FALSE,432.3,278.3
P1,19,18,Th.png,Local,b,0,140,8,2770,988.1,453.3,FALSE,428.1,213.3
P1,19,18,Th.png,Local,b,0,188,9,2970,674,1128.4,FALSE,114,888.4
P1,19,18,Th.png,Local,b,0,144,10,3186,526.4,1107.2,FALSE,-33.6,867.2
P1,19,18,Th.png,Local,b,0,330,11,3364,664,1133.7,FALSE,104,893.7
P1,19,18,Th.png,Local,b,0,294,12,3774,970,468.3,FALSE,410,228.3
P1,19,18,Th.png,Local,b,0,176,13,4094,923.7,539,FALSE,363.7,299
P1,19,18,Th.png,Local,b,0,88,14,4288,951.3,522.3,FALSE,391.3,282.3
P1,20,19,Ou.png,Global,b,0,24,1,10,939.5,564.5,FALSE,379.5,324.5
P1,20,19,Ou.png,Global,b,0,978,2,62,1018.6,549.2,FALSE,458.6,309.2
P1,20,19,Ou.png,Global,b,0,152,3,1068,980.4,455.8,FALSE,420.4,215.8
P1,20,19,Ou.png,Global,b,0,354,4,1238,970.7,404.3,FALSE,410.7,164.3
P1,20,19,Ou.png,Global,b,0,574,5,1622,935.5,490,FALSE,375.5,250
P1,20,19,Ou.png,Global,b,0,142,6,2260,973.9,1134.2,FALSE,413.9,894.2
P1,20,19,Ou.png,Global,b,0,150,7,2424,896.9,1154.6,FALSE,336.9,914.6
P1,20,19,Ou.png,Global,b,0,152,8,2592,948.6,1152,FALSE,388.6,912
P1,20,19,Ou.png,Global,b,0,254,9,2814,921.8,331.2,FALSE,361.8,91.2
P1,20,19,Ou.png,Global,b,0,302,10,3088,959.2,278.9,FALSE,399.2,38.9
P1,20,19,Ou.png,Global,b,0,150,11,3418,949.7,421.9,FALSE,389.7,181.9
P1,20,19,Ou.png,Global,b,0,150,12,3588,1018.4,467.6,FALSE,458.4,227.6
P1,21,20,Ts.png,None,n,0,702,1,10,968.7,543.3,FALSE,408.7,303.3
P1,21,20,Ts.png,None,n,0,190,2,736,925.2,448.6,FALSE,365.2,208.6
P1,21,20,Ts.png,None,n,0,218,3,1006,595.9,1120.5,FALSE,35.9,880.5
P1,21,20,Ts.png,None,n,0,130,4,1240,552.3,1116.6,FALSE,-7.7,876.6
P1,21,20,Ts.png,None,n,0,178,5,1396,657.6,1136.9,FALSE,97.6,896.9
P1,21,20,Ts.png,None,n,0,196,6,1642,980.5,489.1,FALSE,420.5,249.1
P1,21,20,Ts.png,None,n,0,862,7,1868,956.4,402,FALSE,396.4,162
P1,21,20,Ts.png,None,n,0,324,8,2762,1011.1,552,FALSE,451.1,312
P1,22,21,Lo.png,Local,b,0,18,1,10,-122.8,-346.8,FALSE,-682.8,-586.8
P1,22,21,Lo.png,Local,b,0,128,2,134,887.7,411.2,FALSE,327.7,171.2
P1,22,21,Lo.png,Local,b,0,1238,3,280,886.7,431.3,FALSE,326.7,191.3
P1,22,21,Lo.png,Local,b,0,734,4,1680,853.1,380.6,FALSE,293.1,140.6
P1,22,21,Lo.png,Local,b,0,96,5,2650,830,333.3,FALSE,270,93.3
P1,22,21,Lo.png,Local,b,0,742,6,2764,829.4,330.2,FALSE,269.4,90.2
P1,22,21,Lo.png,Local,b,0,626,7,3636,840.7,304.4,FALSE,280.7,64.4
P1,22,21,Lo.png,Local,b,0,102,8,4298,628.6,241.9,FALSE,68.6,1.9
P1,22,21,Lo.png,Local,b,0,166,9,4446,480.7,195.8,FALSE,-79.3,-44.2
P1,22,21,Lo.png,Local,b,0,130,10,4842,1050.4,313.4,FALSE,490.4,73.4
P1,22,21,Lo.png,Local,b,0,114,11,4994,1114.6,293.9,FALSE,554.6,53.9
P1,22,21,Lo.png,Local,b,0,144,12,5138,996.1,318.6,FALSE,436.1,78.6
P1,23,22,Lo.png,Local,b,0,76,1,3652,810.4,242.5,FALSE,250.4,2.5
P1,23,22,Lo.png,Local,b,0,482,2,3754,849.7,325.8,FALSE,289.7,85.8
P1,23,22,Lo.png,Local,b,0,184,3,4278,582.7,216.4,FALSE,22.7,-23.6
